Active,Confirmed,Date,Deceased,NewConfirmed,NewDeceased,NewRecovered,Recovered,State,doubling_time_last_10days,doubling_time_last_2days,doubling_time_last_5days,doubling_time_last_7days
1,1,2020-01-30,0,1,0,0,0,India,,,,
1,1,2020-01-31,0,0,0,0,0,India,,,,
1,1,2020-02-01,0,0,0,0,0,India,,,,
2,2,2020-02-02,0,1,0,0,0,India,,2.0,,
3,3,2020-02-03,0,1,0,0,0,India,,3.4190225827029095,3.154648767857287,
3,3,2020-02-04,0,0,0,0,0,India,,,3.154648767857287,
3,3,2020-02-05,0,0,0,0,0,India,,,3.154648767857287,4.416508275000202
3,3,2020-02-06,0,0,0,0,0,India,,,8.547556456757274,4.416508275000202
3,3,2020-02-07,0,0,0,0,0,India,,,,4.416508275000202
3,3,2020-02-08,0,0,0,0,0,India,6.309297535714574,,,11.966579039460182
3,3,2020-02-09,0,0,0,0,0,India,6.309297535714574,,,
3,3,2020-02-10,0,0,0,0,0,India,6.309297535714574,,,
3,3,2020-02-11,0,0,0,0,0,India,17.095112913514548,,,
3,3,2020-02-12,0,0,0,0,0,India,,,,
2,3,2020-02-13,0,0,0,1,1,India,,,,
2,3,2020-02-14,0,0,0,0,1,India,,,,
2,3,2020-02-15,0,0,0,0,1,India,,,,
1,3,2020-02-16,0,0,0,1,2,India,,,,
1,3,2020-02-17,0,0,0,0,2,India,,,,
1,3,2020-02-18,0,0,0,0,2,India,,,,
1,3,2020-02-19,0,0,0,0,2,India,,,,
0,3,2020-02-20,0,0,0,1,3,India,,,,
0,3,2020-02-21,0,0,0,0,3,India,,,,
0,3,2020-02-22,0,0,0,0,3,India,,,,
0,3,2020-02-23,0,0,0,0,3,India,,,,
0,3,2020-02-24,0,0,0,0,3,India,,,,
0,3,2020-02-25,0,0,0,0,3,India,,,,
0,3,2020-02-26,0,0,0,0,3,India,,,,
0,3,2020-02-27,0,0,0,0,3,India,,,,
0,3,2020-02-28,0,0,0,0,3,India,,,,
0,3,2020-02-29,0,0,0,0,3,India,,,,
0,3,2020-03-01,0,0,0,0,3,India,,,,
2,5,2020-03-02,0,2,0,0,3,India,13.56915448856724,2.7138308977134478,6.78457724428362,9.498408141997068
3,6,2020-03-03,0,1,0,0,3,India,10.0,7.6035680338478615,5.0,7.0
25,28,2020-03-04,0,22,0,0,3,India,3.1032843590951043,0.8999310746377045,1.5516421795475521,2.172299051366573
27,30,2020-03-05,0,2,0,0,3,India,3.0102999566398116,20.09329849942656,1.5051499783199058,2.107209969647868
