Date,State,NewConfirmed,NewDeceased,NewRecovered,Confirmed,Deceased,Recovered,Active,doubling_time_last_2days,doubling_time_last_5days,doubling_time_last_7days,doubling_time_last_10days
2020-03-14,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-15,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-16,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-17,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-18,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-19,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-20,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-21,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-22,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-23,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-24,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-25,Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,
2020-03-26,Andaman and Nicobar Islands,1,0,0,1,0,0,1,0.0,0.0,0.0,0.0
2020-03-27,Andaman and Nicobar Islands,5,0,0,6,0,0,6,0.7737056144690831,0.0,0.0,0.0
2020-03-28,Andaman and Nicobar Islands,3,0,0,9,0,0,9,3.4190225827029095,0.0,0.0,0.0
2020-03-29,Andaman and Nicobar Islands,0,0,0,9,0,0,9,,0.0,0.0,0.0
2020-03-30,Andaman and Nicobar Islands,1,0,0,10,0,0,10,13.157626957921162,1.5051499783199058,0.0,0.0
2020-03-31,Andaman and Nicobar Islands,0,0,0,10,0,0,10,,6.78457724428362,0.0,0.0
2020-04-01,Andaman and Nicobar Islands,0,0,0,10,0,0,10,,32.8940673948029,2.107209969647868,0.0
2020-04-02,Andaman and Nicobar Islands,0,0,0,10,0,0,10,,32.8940673948029,9.498408141997068,0.0
2020-04-03,Andaman and Nicobar Islands,0,0,0,10,0,0,10,,,46.05169435272406,0.0
2020-04-04,Andaman and Nicobar Islands,0,0,0,10,0,0,10,,,46.05169435272406,3.0102999566398116
2020-04-05,Andaman and Nicobar Islands,0,0,0,10,0,0,10,,,,13.56915448856724
2020-04-06,Andaman and Nicobar Islands,0,0,0,10,0,0,10,,,,65.7881347896058
2020-04-07,Andaman and Nicobar Islands,0,0,0,10,0,0,10,,,,65.7881347896058
2020-04-08,Andaman and Nicobar Islands,1,0,0,11,0,0,11,14.545081794683426,36.362704486708566,50.90778628139199,72.72540897341713
2020-04-09,Andaman and Nicobar Islands,0,0,10,11,0,10,1,,36.362704486708566,50.90778628139199,72.72540897341713
2020-04-10,Andaman and Nicobar Islands,0,0,0,11,0,10,1,,36.362704486708566,50.90778628139199,72.72540897341713
2020-04-11,Andaman and Nicobar Islands,0,0,0,11,0,10,1,,36.362704486708566,50.90778628139199,72.72540897341713
2020-04-12,Andaman and Nicobar Islands,0,0,0,11,0,10,1,,,50.90778628139199,72.72540897341713
2020-04-13,Andaman and Nicobar Islands,0,0,0,11,0,10,1,,,50.90778628139199,72.72540897341713
2020-04-14,Andaman and Nicobar Islands,0,0,0,11,0,10,1,,,,72.72540897341713
2020-04-15,Andaman and Nicobar Islands,0,0,0,11,0,10,1,,,,72.72540897341713
2020-04-16,Andaman and Nicobar Islands,0,0,1,11,0,11,0,,,,72.72540897341713
2020-04-17,Andaman and Nicobar Islands,1,0,0,12,0,11,1,15.932334472595622,39.830836181489055,55.763170654084675,79.66167236297811
2020-04-18,Andaman and Nicobar Islands,2,0,0,14,0,11,3,8.99311221120384,14.370983348476022,20.11937668786643,28.741966696952044
2020-04-19,Andaman and Nicobar Islands,1,0,0,15,0,11,4,20.09329849942656,11.174208714828355,15.643892200759696,22.34841742965671
2020-04-20,Andaman and Nicobar Islands,1,0,0,16,0,11,5,21.48010733256263,9.249523598468059,12.949333037855281,18.499047196936118
2020-04-21,Andaman and Nicobar Islands,1,0,0,17,0,11,6,22.86685375650587,9.950242013238237,11.145942666473145,15.92277523781878
2020-04-22,Andaman and Nicobar Islands,1,0,0,18,0,11,7,24.253548480223827,13.790437447251964,9.852308507595277,14.074726439421825
2020-04-23,Andaman and Nicobar Islands,4,0,0,22,0,11,11,6.908304961654759,9.049101861418857,8.00485672573663,10.0
2020-04-24,Andaman and Nicobar Islands,7,0,0,29,0,11,18,5.0181987928635055,5.827634910790252,6.66269396831714,7.150265959930187
2020-04-25,Andaman and Nicobar Islands,4,0,0,33,0,11,22,10.728858326106408,5.225035605362562,6.153827090507419,6.309297535714574
2020-04-26,Andaman and Nicobar Islands,0,0,0,33,0,11,22,,5.717754804097593,6.702450607726453,6.851982561085812
